GeneID,2369,2MA22,33-16,38-11,793,DK3IBZ2
Zm00001eb000970_T001,0.74607,1.00531,1.22075,0.593752,1.68702,0.457232
Zm00001eb000980_T001,3.552,2.13168,1.72766,2.53856,3.81503,4.79369
Zm00001eb000990_T001,0.0792902,0.285248,0.445578,0.0839288,0.289385,0.692176
Zm00001eb001000_T002,11.6128,10.1452,10.9736,10.6903,8.55055,12.3856
Zm00001eb001010_T001,0.812804,0.846459,0.501323,0.817293,0.721773,0.465556
Zm00001eb001020_T001,19.3617,13.9245,18.1656,14.319,32.8953,27.1579
Zm00001eb001030_T001,0.0,0.0,0.0,4.19821,0.0,0.0
Zm00001eb001040_T001,11.5734,13.7232,17.2841,11.8404,6.66279,11.7168
Zm00001eb001050_T002,9.4592,9.81643,1.16727,13.7577,5.73126,3.92688
Zm00001eb001060_T002,0.0690862,0.0828159,0.190398,0.292737,0.0,1.58237
Zm00001eb001070_T001,11.8951,18.705,14.3667,23.1624,18.2104,22.0289
Zm00001eb001090_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001100_T001,0.084989,0.0,0.0,0.0,0.0,0.0
Zm00001eb001110_T001,19.279,14.7171,20.8724,22.6639,18.5354,23.8951
Zm00001eb001120_T001,10.2511,9.37702,17.218,41.0213,18.8095,29.6269
Zm00001eb001130_T002,14.4188,21.0304,23.911,38.3193,18.4988,23.2656
Zm00001eb001140_T004,19.0417,61.8023,40.003,69.7417,32.2295,18.3794
Zm00001eb001150_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001160_T001,0.788136,2.31618,2.27059,1.06526,0.587789,1.87255
Zm00001eb001170_T002,87.1946,26.8395,104.922,76.6608,85.1117,46.1349
Zm00001eb001180_T001,51.281,2.41174,3.58523,20.9477,74.1735,16.6112
Zm00001eb001190_T001,0.0,0.0,0.0,0.0,0.083312,0.0
Zm00001eb001200_T001,93.268,111.373,84.9709,83.2384,119.163,84.4387
Zm00001eb001210_T001,0.0,0.0,0.0,0.0,0.0865698,0.0
Zm00001eb001220_T001,0.0492817,0.0,0.0679052,0.0522833,1.12338,0.0
Zm00001eb001230_T001,0.0,0.138316,0.0,0.0,0.736339,27.5742
Zm00001eb001240_T002,9.80074,5.95114,4.20831,12.0453,16.0841,13.3097
Zm00001eb001250_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001260_T001,3.0459,6.4145,4.94622,9.40258,2.58921,5.98999
Zm00001eb001270_T003,9.54387,8.0075,16.8898,8.63817,9.19604,15.3458
Zm00001eb001280_T001,7.70419,2.95789,8.35875,13.7943,25.3294,52.977
Zm00001eb001290_T001,17.9651,13.8059,17.6809,18.4448,15.8337,12.8
Zm00001eb001300_T001,1.16002,0.0,0.639426,0.569802,0.777563,1.77833
Zm00001eb001310_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001320_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001330_T001,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001eb001340_T003,0.783926,9.44461,1.01662,1.53934,0.924953,0.0502401
Zm00001eb001350_T001,9.16222,11.0416,4.60433,7.60202,8.74821,12.3355
Zm00001eb001360_T002,17.7696,23.4124,22.5475,19.5691,20.8737,22.377
Zm00001eb001370_T001,2.29433,1.91468,2.14872,1.97416,2.0537,1.9644
Zm00001eb001400_T001,148.19,182.896,164.627,204.036,154.895,223.076
Zm00001eb001410_T001,27.7915,11.7393,0.0,4.56269,0.0,16.9908
Zm00001eb001420_T001,0.247384,1.18535,0.068174,0.104979,0.225567,0.0
Zm00001eb001430_T001,13.8256,12.9562,12.0724,17.5196,14.3005,12.7297
